iter	RMSE
0	743132.4029
1	665135.6005
2	622591.7508
3	599009.3536
4	583241.4021
5	570281.0485
6	562711.9733
7	555455.8581
8	550541.9781
9	546611.683
10	539517.3051
11	536517.7436
12	532715.0582
13	530303.3268
14	527100.5216
15	524651.4849
16	522147.1591
17	520137.6434
18	517108.7395
19	514400.3914
20	512556.9562
21	510645.338
22	508279.434
23	506869.1935
24	505087.5669
25	503643.0971
26	501746.4574
27	499202.0366
28	497776.4676
29	495424.1983
30	493954.9531
31	492219.7276
32	490890.6033
33	489892.6861
34	487799.8883
35	486888.7842
36	485729.1348
37	483762.5232
38	481850.2153
39	480543.0739
40	478443.2527
41	476999.0103
42	475641.5396
43	473842.3124
44	472406.7091
45	471250.4236
46	470165.6664
47	469107.3797
48	467752.1987
49	467303.8853
50	466010.7409
51	465385.5177
52	464089.0924
53	463016.058
54	461370.1039
55	460946.0933
56	460197.1
57	459217.6919
58	457483.543
59	457208.6583
60	456261.7877
61	455226.7196
62	453844.0778
63	452849.1647
64	451764.9251
65	450295.5278
66	449602.2323
67	448721.1439
68	448053.1009
69	447181.2069
70	445966.2292
71	444997.7416
72	444796.2886
73	443578.1094
74	442803.1328
75	442149.6793
76	441537.9178
77	440749.2141
78	439881.2993
79	439259.4298
80	438681.7225
81	438005.5391
82	437122.4705
83	436175.6378
84	434993.4327
85	433763.8251
86	433296.8021
87	432158.1972
88	431451.5635
89	431421.0086
90	430638.1536
91	430187.0606
92	429900.8935
93	428551.9551
94	427967.2107
95	427264.9065
96	426445.876
97	425800.4373
98	425375.8431
99	424274.6638
100	423837.3948
101	423007.5203
102	422496.6585
103	421956.9128
104	421308.9873
105	419733.998
106	419331.7003
107	418966.2285
108	418370.2479
109	417982.212
110	417677.8351
111	417314.9717
112	416636.078
113	415637.2088
114	415037.7228
115	414484.1869
116	413710.572
117	412877.4305
118	412230.6916
119	411897.5016
120	411223.3646
121	410547.2851
122	409975.8015
123	409055.303
124	408551.447
125	408047.4741
126	407083.3407
127	406655.7271
128	406223.7145
129	405861.8622
130	405449.0736
131	405113.6533
132	404349.0281
133	404125.9983
134	403320.3637
135	402948.0833
136	402516.0344
137	401957.6027
138	401501.136
139	401004.1898
140	400634.9344
141	399906.0989
142	399548.2422
143	399277.0201
144	398811.5315
145	398466.8745
146	398182.9335
147	397788.9257
148	397080.3832
149	396183.5258
150	395934.2163
151	395414.0636
152	395281.9148
153	394830.2231
154	394491.5469
155	394085.6243
156	393536.2366
157	393072.8334
158	392394.5433
159	391861.04
160	391634.3062
161	391275.3636
162	390937.6053
163	390454.5938
164	389977.0298
165	389581.3917
166	388933.4188
167	388051.4472
168	387707.6966
169	387557.9379
170	386976.325
171	386297.7511
172	385915.8094
173	385373.9752
174	384990.8452
175	384565.429
176	384150.4561
177	383672.7713
178	383363.3086
179	382813.2068
180	382238.9731
181	381822.4485
182	381399.2289
183	381133.9206
184	380580.3478
185	380330.3191
186	380083.972
187	379658.7332
188	379246.6993
189	378937.1083
190	378538.8463
191	378254.9867
192	377683.8785
193	377301.7793
194	376398.9484
195	375938.948
196	375820.2066
197	375353.2621
198	375180.7346
199	374789.1857
