iter	Passed	Remaining
0	326	65009
1	855	84738
2	1146	75310
3	1511	74065
4	1790	69841
5	2082	67350
6	2374	65476
7	2634	63218
8	2895	61454
9	3174	60319
10	3488	59947
11	3763	58956
12	4072	58576
13	4366	58016
14	4645	57292
15	4956	57003
16	5272	56761
17	5579	56409
18	5879	56008
19	6181	55631
20	6491	55335
21	6791	54951
22	7174	55215
23	7597	55714
24	7882	55177
25	8170	54679
26	8445	54114
27	8734	53655
28	9002	53081
29	9286	52622
30	9556	52099
31	9820	51559
32	10088	51052
33	10356	50562
34	10614	50038
35	10919	49744
36	11182	49263
37	11462	48868
38	11729	48419
39	11997	47989
40	12275	47604
41	12531	47143
42	12811	46777
43	13092	46419
44	13377	46076
45	13715	45915
46	13989	45540
47	14268	45184
48	14555	44853
49	14838	44515
50	15151	44264
51	15447	43965
52	15723	43609
53	16003	43267
54	16305	42987
55	16573	42618
56	16859	42297
57	17224	42171
58	17509	41845
59	17681	41256
60	17982	40975
61	18318	40772
62	18597	40441
63	18880	40120
64	19181	39839
65	19462	39515
66	19741	39188
67	20033	38888
68	20326	38591
69	20599	38256
70	20933	38034
71	21237	37756
72	21510	37422
73	21820	37154
74	22117	36862
75	22438	36609
76	22726	36303
77	23007	35986
78	23292	35675
79	23557	35335
80	23840	35024
81	24134	34730
82	24434	34443
83	24765	34200
84	25060	33905
85	25356	33611
86	25622	33279
87	25906	32972
88	26202	32679
89	26465	32347
90	26765	32059
91	27086	31797
92	27365	31484
93	27664	31195
94	27952	30894
95	28237	30590
96	28509	30273
97	28797	29972
98	29097	29684
99	29399	29399
100	29684	29096
101	29973	28797
102	30256	28494
103	30545	28195
104	30830	27894
105	31193	27662
106	31475	27357
107	31761	27056
108	32055	26761
109	32353	26471
110	32715	26231
111	33102	26009
112	33501	25792
113	33787	25488
114	34077	25187
115	34373	24891
116	34664	24591
117	34956	24291
118	35338	24053
119	35629	23753
120	35983	23493
121	36289	23201
122	36580	22899
123	36875	22601
124	37174	22304
125	37456	21998
126	37751	21699
127	38054	21405
128	38338	21100
129	38634	20802
130	38920	20499
131	39248	20218
132	39564	19930
133	39843	19624
134	40137	19325
135	40437	19029
136	40749	18739
137	41082	18457
138	41375	18157
139	41657	17853
140	41939	17549
141	42234	17250
142	42651	17000
143	42943	16700
144	43228	16396
145	43506	16091
146	43819	15799
147	44128	15504
148	44423	15205
149	44744	14914
150	45042	14616
151	45345	14319
152	45636	14018
153	45996	13739
154	46285	13437
155	46559	13132
156	46849	12831
157	47172	12539
158	47465	12239
159	47757	11939
160	48043	11637
161	48406	11354
162	48697	11054
163	48991	10754
164	49284	10454
165	49570	10153
166	49862	9852
167	50154	9553
168	50435	9251
169	50724	8951
170	51014	8651
171	51322	8354
172	51609	8054
173	51903	7755
174	52192	7456
175	52483	7156
176	52764	6856
177	53057	6557
178	53348	6258
179	53639	5959
180	53945	5662
181	54235	5363
182	54511	5063
183	54807	4765
184	55102	4467
185	55388	4169
186	55680	3870
187	55969	3572
188	56284	3275
189	56566	2977
190	56874	2679
191	57211	2383
192	57515	2086
193	57905	1790
194	58250	1493
195	58576	1195
196	58894	896
197	59213	598
198	59491	298
199	59803	0
